,Status
0,Pending
1,Accepted
2,Pending
3,Pending
4,Pending
5,Accepted
6,Accepted
7,Declined
8,Accepted
9,Pending
10,Pending
11,Pending
12,Pending
13,Pending
14,Pending
15,Declined
16,Declined
17,Declined
18,Accepted
19,Declined
20,Declined
21,Pending
22,Declined
23,Declined
24,Accepted
25,Accepted
26,Declined
27,Accepted
28,Declined
29,Declined
30,Accepted
31,Accepted
32,Accepted
33,Declined
34,Wait list
35,Declined
36,Accepted
37,Declined
38,Accepted
39,Accepted
40,Accepted
41,Declined
42,Declined
43,Declined
44,Wait list
45,Declined
46,Declined
47,Accepted
48,Accepted
49,Wait list
50,Accepted
51,Declined
52,Accepted
53,Accepted
54,Declined
55,Declined
56,Declined
57,Accepted
58,Accepted
59,Accepted
60,Accepted
61,Declined
62,Accepted
63,Accepted
64,Accepted
65,Accepted
66,Accepted
67,Declined
68,Declined
69,Declined
70,Wait list
71,Declined
72,Declined
73,Accepted
74,Declined
75,Declined
76,Pending
77,Declined
78,Accepted
79,Declined
80,Accepted
81,Declined
82,Declined
83,Declined
84,Declined
85,Declined
86,Declined
87,Accepted
88,Declined
89,Declined
90,Declined
91,Declined
92,Wait list
93,Declined
94,Declined
95,Declined
96,Declined
97,Accepted
98,Accepted
99,Accepted
100,Declined
101,Accepted
102,Declined
103,Accepted
104,Pending
105,Accepted
106,Declined
107,Accepted
108,Accepted
109,Declined
110,Declined
111,Declined
112,Declined
113,Declined
114,Accepted
115,Accepted
116,Accepted
117,Accepted
118,Wait list
119,Declined
120,Accepted
121,Pending
122,Declined
123,Accepted
124,Declined
125,Accepted
126,Accepted
127,Wait list
128,Declined
129,Accepted
130,Declined
131,Accepted
132,Accepted
133,Accepted
134,Pending
135,Accepted
136,Accepted
137,Pending
138,Accepted
139,Accepted
140,Accepted
141,Accepted
142,Declined
143,Accepted
144,Accepted
145,Accepted
146,Accepted
147,Accepted
148,Declined
149,Accepted
150,Accepted
151,Declined
152,Accepted
153,Pending
154,Accepted
155,Declined
156,Declined
157,Declined
158,Accepted
159,Wait list
160,Accepted
161,Accepted
162,Accepted
163,Accepted
164,Accepted
165,Declined
166,Pending
167,Pending
168,Wait list
169,Accepted
170,Declined
171,Accepted
172,Pending
173,Declined
174,Accepted
175,Declined
176,Accepted
177,Accepted
178,Accepted
179,Accepted
180,Accepted
181,Accepted
182,Accepted
183,Declined
184,Declined
185,Accepted
186,Accepted
187,Accepted
188,Accepted
189,Accepted
190,Declined
191,Wait list
192,Accepted
193,Declined
194,Accepted
195,Accepted
196,Accepted
197,Declined
198,Accepted
199,Declined
200,Declined
201,Declined
202,Declined
203,Declined
204,Declined
205,Declined
206,Declined
207,Declined
208,Declined
209,Declined
210,Pending
211,Accepted
212,Declined
213,Pending
214,Declined
215,Accepted
216,Accepted
217,Declined
218,Accepted
219,Accepted
220,Accepted
221,Accepted
222,Accepted
223,Declined
224,Accepted
225,Accepted
226,Declined
227,Accepted
228,Pending
229,Declined
230,Accepted
231,Accepted
232,Declined
233,Declined
234,Declined
235,Declined
236,Declined
237,Accepted
238,Declined
239,Declined
240,Declined
241,Declined
242,Declined
243,Accepted
244,Declined
245,Declined
246,Declined
247,Declined
248,Accepted
249,Declined
250,Declined
251,Declined
252,Declined
253,Declined
254,Declined
255,Declined
256,Declined
257,Accepted
258,Accepted
259,Accepted
260,Wait list
261,Accepted
262,Accepted
263,Wait list
264,Accepted
265,Accepted
266,Accepted
267,Accepted
268,Accepted
269,Accepted
270,Declined
271,Accepted
272,Accepted
273,Accepted
274,Wait list
275,Accepted
276,Accepted
277,Accepted
278,Accepted
279,Accepted
280,Accepted
281,Accepted
282,Accepted
283,Declined
284,Accepted
285,Accepted
286,Wait list
287,Accepted
288,Accepted
289,Declined
290,Pending
291,Accepted
292,Accepted
293,Accepted
294,Declined
295,Accepted
296,Declined
297,Declined
298,Declined
299,Declined
300,Accepted
301,Declined
302,Accepted
303,Pending
304,Wait list
305,Declined
306,Accepted
307,Declined
308,Accepted
309,Accepted
310,Accepted
311,Accepted
312,Wait list
313,Declined
314,Wait list
315,Wait list
316,Wait list
317,Declined
318,Wait list
319,Declined
320,Wait list
321,Declined
322,Declined
323,Declined
324,Accepted
325,Accepted
326,Declined
327,Wait list
328,Wait list
329,Wait list
330,Wait list
331,Wait list
332,Wait list
333,Declined
334,Declined
335,Accepted
336,Accepted
337,Accepted
338,Accepted
339,Declined
340,Accepted
341,Accepted
342,Accepted
343,Accepted
344,Accepted
345,Declined
346,Pending
347,Accepted
348,Accepted
349,Accepted
350,Accepted
351,Accepted
352,Accepted
353,Accepted
354,Accepted
355,Accepted
356,Accepted
357,Accepted
358,Pending
359,Pending
360,Accepted
361,Accepted
362,Accepted
363,Accepted
364,Accepted
365,Accepted
366,Accepted
367,Accepted
368,Accepted
369,Accepted
370,Accepted
371,Accepted
372,Accepted
373,Accepted
374,Declined
375,Pending
376,Accepted
377,Pending
378,Accepted
379,Accepted
380,Accepted
381,Declined
382,Accepted
383,Accepted
384,Accepted
385,Accepted
386,Accepted
387,Accepted
388,Accepted
389,Accepted
390,Accepted
391,Pending
392,Accepted
393,Accepted
394,Accepted
395,Accepted
396,Declined
397,Accepted
398,Pending
399,Declined
400,Accepted
401,Declined
402,Accepted
403,Accepted
404,Accepted
405,Accepted
406,Declined
407,Accepted
408,Accepted
409,Accepted
410,Declined
411,Declined
412,Declined
413,Accepted
414,Accepted
415,Pending
416,Accepted
417,Accepted
418,Declined
419,Declined
420,Declined
421,Accepted
422,Accepted
423,Accepted
424,Accepted
425,Accepted
426,Wait list
427,Accepted
428,Accepted
429,Accepted
430,Accepted
431,Accepted
432,Accepted
433,Accepted
434,Accepted
435,Accepted
436,Accepted
437,Accepted
438,Accepted
439,Accepted
440,Accepted
441,Accepted
442,Accepted
443,Accepted
444,Accepted
445,Declined
446,Accepted
447,Accepted
448,Accepted
449,Accepted
450,Accepted
451,Accepted
452,Pending
453,Accepted
454,Declined
455,Accepted
456,Accepted
457,Accepted
458,Accepted
459,Pending
460,Wait list
461,Accepted
462,Declined
463,Wait list
464,Wait list
465,Accepted
466,Accepted
467,Accepted
468,Accepted
469,Wait list
470,Wait list
